old_file path,new_file path,commit SHA,parent commit SHA,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range,issue_cwe
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,assert_used,B101,LOW,HIGH,282,8,74,[282],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,exec_used,B102,MEDIUM,HIGH,427,8,32,[427],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,try_except_pass,B110,LOW,HIGH,437,4,12,"[437, 438]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,try_except_pass,B110,LOW,HIGH,443,8,16,"[443, 444]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,blacklist,B404,LOW,HIGH,6,0,17,[6],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,start_process_with_partial_path,B607,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,start_process_with_partial_path,B607,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,assert_used,B101,LOW,HIGH,282,8,74,[282],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,exec_used,B102,MEDIUM,HIGH,427,8,32,[427],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,try_except_pass,B110,LOW,HIGH,437,4,12,"[437, 438]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,54294dda82192b40f85061e2f3c6733de17e62d0,7701ec78577301c235ad53ce613b4fa04a589963,61,try_except_pass,B110,LOW,HIGH,443,8,16,"[443, 444]",https://cwe.mitre.org/data/definitions/703.html
LICENSE-3RD-PARTY.txt,LICENSE-3RD-PARTY.txt,1e85f5e48571923bb8dcd417294a16898ab96b39,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,,,,,,,,,,
